sub,task,valence,arousal,white_boost,SaccRate,SaccDur,SaccPvel,BlinkRate,BlinkDur,MeanPupDiam,PeakPupDiam,VarPupDiam
1,1,3.46,6.87,1,1.07862912338446,12.2083333333333,66.3000003496806,0.633872876595166,460.666666666667,0.0476195712019487,0.15372428160713,0.00464180045260817
1,1,3.46,6.87,2,0.605480766955125,17.1111111111111,77.444445292155,0.891160870422596,186.041666666667,0.0944809925128556,0.274915991952529,0.0115041597548165
1,1,3.46,6.87,3,1.83527515345473,15.675,82.9079166253408,0.296351360525971,155,0.120921110861249,0.287068154749051,0.00977431619602434
1,1,3.37,6.37,1,1.06076675832993,12.0625,76.2250008583069,0.575033419002197,321.5,0.0229958591183586,0.186489445841082,0.0126952117206358
1,1,3.37,6.37,2,0.818839397027683,12.625,70.7875003814697,0.336873900326401,590,0.0498426607636334,0.207470213563104,0.010141267056208
1,1,3.37,6.37,3,0.466846811969127,12.0416666666667,70.5250002543132,0.5352660482912,310.875,0.0476087697085546,0.143515118459423,0.00422606643552309
1,1,7.13,4.75,1,1.09475272273762,17.5,93.2583322525024,0.338575747509761,465.333333333333,-0.0600407916758571,0.0313632913075979,0.00298065928465213
1,1,7.13,4.75,2,0.72801695525824,11.5,64.38611041175,0.442964565746005,276.458333333333,-0.0971015935991277,0.054610394998333,0.00557513215904565
1,1,7.13,4.75,3,0.56981969206439,18.5,90.0111094580756,0.176715685689105,613.5,-0.0687573948569499,0.0461629800661966,0.00286944423757861
1,1,7.3,4.53,1,1.36460133253018,14.2166666666667,80.8833327293396,0.510850838208523,280.5,0.00814143716573367,0.118322541327845,0.00493168254620328
1,1,7.3,4.53,2,0.952791815265894,13.4583333333333,72.9416662851969,0.275368763912333,313,-0.0489768373450344,0.08638877154547,0.00527135716965805
1,1,7.3,4.53,3,1.01727365966199,13.2083333333333,70.1333351135254,0.37496425385261,541.666666666667,-0.0132059495437785,0.056572165932944,0.00163654335249153
1,1,4.79,6.23,1,0.774637602345919,11.625,60.1000003814697,0.399284788181233,275.666666666667,0.00336080396290084,0.0807869354849971,0.00177174675273145
1,1,4.79,6.23,2,1.21127290559049,11.775,62.3449995040894,0.391085108574724,517,-0.010431685204975,0.0744104759610926,0.00193092394206503
1,1,4.79,6.23,3,0.940318538379949,14.2222222222222,76.1555557250977,0.144508670520231,269,-0.110351263682655,0.0102701460833786,0.00676483239297378
1,1,6.61,5.63,1,1.33877966190156,10.9583333333333,61.4750001430511,0.489862455320366,496.5,-0.0316264912306492,0.141202025275217,0.0458754049466614
1,1,6.61,5.63,2,0.486775997318596,17,83.6666685740153,0.420460771858042,497.333333333333,-0.0697873785299962,0.0493194081100599,0.00386186686693349
1,1,6.61,5.63,3,1.07661681524791,12.1166666666667,68.8249995390574,0.447151930494735,267,-0.0489876467711321,0.0510005643978121,0.00386116000541841
1,1,4.91,3.34,1,0.757026175488045,20.275,99.0974995613098,0.242643522526631,207.25,-0.0584077242944521,0.0738353733623227,0.00439729973073659
1,1,4.91,3.34,2,1.62600032203681,19.85,87.3149987220764,0.496902426432628,211.75,-0.148760882500101,0.0130610592583176,0.00424771590705306
1,1,4.91,3.34,3,0.727142595910323,16.4444444444444,91.483334435357,0.319499892246163,300.333333333333,-0.015877578268747,0.0855376887258917,0.00285900205282022
1,1,2.84,4.55,1,0.858888137525989,9.41666666666667,57.1083342234294,0.701495232434657,426.625,0.0168672899883022,0.126856611444718,0.00392409395372172
1,1,2.84,4.55,2,0.526033410041932,18.5555555555556,86.2111117045085,0.620878529285627,244.5,-0.00120958884670588,0.101915486005137,0.00465850296372997
1,1,2.84,4.55,3,0.809835958939828,13.1666666666667,68.9333324432373,0.409140033966342,207,-0.120454476323222,0.0634866076146156,0.0114478627804857
1,1,5.19,3.5,1,0.879904933818732,15.25,83.8125001589457,0.386396340088458,364,0.0124905937030934,0.103663731733652,0.00323902921902755
1,1,5.19,3.5,2,1.25235531042754,15.375,84.9374998410543,0.482222775991381,263.833333333333,-0.0874714184906108,0.0520951077548434,0.00445278485077194
1,1,5.19,3.5,3,0.781041045699414,15.4166666666667,76.0416653951009,0.692654547980729,350.25,-0.0389004525825605,0.0738315404608483,0.00277862872111559
1,1,3.28,4.35,1,0.698810794682959,14.125,63.7625002861023,0.553663430913811,373.833333333333,-0.0431509311914245,0.121818612164418,0.00698905164431696
1,1,3.28,4.35,2,0.746513185885239,15.8333333333333,100.983332951864,0.35072441348789,359,-0.00389728592801075,0.0854775152119484,0.00315013309725714
1,1,3.28,4.35,3,0.802261728590672,16.0833333333333,89.762501557668,0.455867714971784,250.166666666667,0.00064089359399449,0.106699231084492,0.00271718216776642
1,1,4.91,2.43,1,0.360202867299718,13.5,64.8500022888184,0.591584587457233,705.375,-0.106845907676342,0.100645637209458,0.0374221849452038
1,1,4.91,2.43,2,0.717807227864555,10.4166666666667,58.0250005722046,0.468461086185598,417.75,-0.0412033012256354,0.0462249508379412,0.00241595693518765
1,1,4.91,2.43,3,1.22534877863321,10.0833333333333,61.4583336512248,0.509523687099062,315.333333333333,-0.0450017410552982,0.093337124670463,0.00517918202476522
1,1,5.22,3,1,0.743022750164715,15.8333333333333,80.7055553860134,0.352703919722918,205.666666666667,-0.00960529247947255,0.103941157331988,0.0074668102769168
1,1,5.22,3,2,0.516999625018224,10.3333333333333,65.8166681925456,0.112208258527828,628,-0.040389925001848,0.0500286224187563,0.0022559509657768
1,1,5.22,3,3,1.30044565529624,17.8333333333333,90.2749993006388,0,0,0.0374849487388642,0.115451644263238,0.00247941758103302
